nama_tempat,user,review,rating,tanggal
Unknown,Erika Suci,"pelayanannya baik dan sangat ramah, tetapi service timenya 45mnit sangat lama, selain itu untuk mie saya di mie hompimpa level, tidak matang, gumpal, tidak di aduk rs sudah dingin dan nempel di box",2,Diedit 7 bulan lalu
Unknown,Newbie 1150,Sangat mengecewakan saya order pesanan via grup wa tidak dapat pelayanan dari pihak gacoan hanya di baca saja lantas mengapa kalian membuat grup itu tidak ada guna nya paling tidak ada konfirmasi sama customer. Tolong di perbaikin seperti ini biar tidak ada complain berikutnya. Terimakasih,1,2 bulan lalu
Unknown,Fitriah Nurul Sholikhah,"Menunya bervarian dan enak sesuai dengan budget mahasiswa, rekomen mie gacoan nya next coba menu yang lain",5,setahun lalu
Unknown,Fatma Anindya,"ga pernah nyesel makn d gacoan A yani smd, mie nya selalu enak rasanya pas mba"" cell nya ramah bgtt karyawan yg lain jg baik"" sukaa bgt deh pokoknya 🥰😍 …",5,11 bulan lalu
Unknown,Widiastuty parawansyah,"Menunggu hampir 1 jam untuk dine in. Minuman sudah habis mienya belum juga dateng. Kipas gk merata, panass menyengat apalgi menunggu hampir 1 jam. Sangat tidak rekomen!",1,2 bulan lalu
Unknown,Dian Aulia Widya Pratiwi,"sukak banget gacoan yg di ahmad yanii, lebih enak juga tempatnya, pokoknya lebih mantap gacoan ahmad yani",5,9 bulan lalu
Unknown,Muhammad Thommy,"pelayanan lambat, nge scan dine in tapi sejam nunggunya pdhl tmn sblh beda 10 mnit aj, waktu di tanya alasan scan take way bukannya minta maaf kah apakah gkmau salah. gkjelas aneh",1,2 bulan lalu
Unknown,Aprilia Tesalonika,untuk mie nya kalau bisa jangan wadah plastik tapi wadah piring kaca atau piring sungguhan jauh lebih baik👍 …,5,2 minggu lalu
Unknown,Koalski Yxz,"Coba kasih mic, mana kedengaran karyawan teriak² begitu heh",2,3 bulan lalu
Unknown,Hafidz Zah,"Tempat makannya bersih dan rapi, pelayanan nya juga ramah. Makanannya enak semua",5,2 minggu lalu
Unknown,ziaa datul02,"makanannya kalo lagi rame pedas ny krg konsisten, mungkin kdepanny lebih konsisten lagi.",5,seminggu lalu
Unknown,Nur Fatmawati,Makanannya enak yang datang sesuai dengan pesanan rekomended buat kembali kesini lahi,5,2 minggu lalu
Unknown,Aulia Lia,"pelayanan bener bener lelet, nunggu mie datang minuman meleleh sama dimsum nya jadi dingin, bener” bad bngt
terus yng ngantr” mie cuma satu orng padahal bnyak bgt karyawannya ttp masi …",1,3 bulan lalu
Unknown,Nabila Bila,"tempat nya nyaman,lumayan panas,makananya enak banget rekomend,tempatnya bersih jugaa💜😊😊 …",5,2 minggu lalu
Unknown,Sopia Lena,Makan malam tgl 15 okt 2025 pesanan an. Yaya meja 3 minuman & snack datang lbh awal dikonsumsi pelan sambil menunggu mie tp lbh 50 menit menunggu pesanan tdk datang dilakukan konfirmasi sebanyak 2 kali kepada 2 petugas yg berbeda respon …,1,8 bulan lalu
Unknown,Stevania,Untuk kedepannya lebih di sesuaikan dengan pesanan dan kalau bisa parkir gratis dan jika tidak di kasih jangan marah,3,2 minggu lalu
Unknown,Putri Nur Alilah,"kasirnya jutek saya ngasih uang langsung dirampas, waiternya jga sama saya minta tlg clean up meja malah di srh pindah meja padahal saya sudah pesan makanan …",5,8 bulan lalu
Unknown,Faris Chanel,"Alhamdulillah pelayanan ramah dah jelas banget yang mau makan di tempat duduk di meja scan barcode kalau mau untuk dibawa scan barcode yang disediakan tak away jadi sambil makan sambil nunggu pesanan yang dibungkus, pas hujan2 berteduh makan mie gacoan",5,5 bulan lalu
Unknown,Shinta mutiara Nurkasih,"Untuk rasa saya kurang oke dibandingkan gacoan yang lain, dan untuk tingkat kepedasan gak konsisten, saya sudah 3x kesini pedas untuk level 1 terlalu pedassss",5,8 bulan lalu
Unknown,Bolly Zhafira (Fashion),"Penggemar mie wajib kesini si, salah satu tempat makan mie yg enak tempatnya pun nyaman dan yg jelas ramah dikantong 😄 …",5,setahun lalu
Unknown,nur lutfia salsabila,enak banget mi gacoan nya rasanya pengen nambah lagiii,5,sebulan lalu
Unknown,Putri Yulianda,Selalu rame jadi harus sabar banget ngantrinya tapi untungnya ajaa rasa mie nya enak apa lagi udang keju nya 😁 …,4,2 bulan lalu
Unknown,Peliculla Castte,"Pelayanannya kurang teliti nih,pesennya apa datangnya apa.mesen gacoan lvl 2 nya 2 yg datang malah lvl 0 dua duanya lg hdehh",1,sebulan lalu
Unknown,Rambo,"tempat makan kekinian, mienya asal ada lumayan,es gobak sodor thaitea dan  greentea susunya enak 😋 …",3,Diedit 6 bulan lalu
Unknown,Muhammad Arifin,"Tolong banget untuk pelayanan dan waktu estimasi penyajiannya lebih diperhatikan lagi, udah nunggu lama banget sampe orang di sekitar saya sampe pulang tapi mie saya belum ada datang samsek dan untuk mas yang mengarahkan meja dine in mohon …",1,8 bulan lalu
Unknown,christina siauw,"Puput puput kata gw mah lu tobat kerja di fnb pelayanannya begitu. Saya di pelototin dan disinisin cuma perkara ngambil tissue selembar ""dg ijin"" Dikirain bakal sweet respon. Tau2 di sensiin. Untung saya sabar nggak saya dorong kamu. Amit2 ada waiter spt itu.",1,4 bulan lalu
Unknown,Mochamad Bayu Nugraha,"Kebijakan di gacoan di sini tidak sama dengan yg pernah sy rasakan/alami di Gacoan Balikpapan Kilo, disini ketika anda membawa banyak orang dan hendak menggabungkan meja harus melalui reservasi. Jika tidak melakukan reservasi sebelumnya …",4,4 bulan lalu
Unknown,Qisya Aqillah Humaira,"pesan online udh nunggu satu jam lebih malah di batalkan, klo emg gamau gausah di terima pesanannya, kita udh nunggu lama loh, masa tiba' di batalkan gitu aja? kan aneh ya",1,2 bulan lalu
Unknown,Dayu Sri,"Makanannya enak semua,pelayanan memuaskan",5,setahun lalu
Unknown,Amelia,"Pelayanannya nggak banget. Waktu itu saya pesan dan menunggu hampir 2 jam. Saya masih berusaha maklum karena kondisi sedang ramai, tapi selama menunggu saya lihat banyak pelanggan yang datang belakangan justru sudah lebih dulu diantarin …",1,5 bulan lalu
Unknown,aza lea,"tolong mbanya kalau antar makanannya yang bener, kok bisa sih makanan meja sebelah ketukar sama meja saya pdhal ada nomor meja, lebih teliti lagi!",1,7 bulan lalu
Unknown,Naswa salsa alzahra,"enak bgt , dekat dari rumah . pelayanan nya juga mantap thank u yah",5,2 minggu lalu
Unknown,joko catursetiono,"Tidak diarahkan untuk scan di meja, makanan di panggil disuruh ambil, tp music terlalu keras, air wudhu nya asin, kayaknya air tanah, sangat tidak layak untuk wudhu",3,8 bulan lalu
