nama_tempat,user,review,rating,tanggal
Unknown,Sandra Suryadinata,"Mie Gacoan cab. Kelapa Gading ini sepertinya baru beberapa waktu beroperasi, terlihat dr tempat peletakan snacknya yg masih bersih. Bangku dan meja yg terlihat msh sangat baik warnanya. Lalu, saat ke sana pagi tadi, suasananya masih adem, angin semilir memenuhi ruangan. Mie-nya enak, udang kejunya juga selalu the best!",5,setahun lalu
Unknown,keysya hasan,"sangat memuaskan saya, teman saya, dan guru saya sangat menikmati makanan yang disajikan terimakasih sudah memberikan pelayanan yang exsilent",5,2 minggu lalu
Unknown,Ivana Putri. F,Pelayan bagian depan jutek ketus yg pake jilbab bergo kmren hari kamis jam 18.00 takeway gacoan buat minta saos ketus banget muka nya ga ngenakin dan buat mie nya juga kering banget kurang kecap jd pucet hambar dan pangsit nya jg ga kaya biasanya tipis tp buat daleman masih ok aja,1,7 bulan lalu
Unknown,Syalsaalberstt,"biasanya selalu detail, tp kemarin beli online pesen lvl 6 dikasihnya level 2. tolong teliti dong mas/mba",1,sebulan lalu
Unknown,ALFARIZI BAYU PRADANA,"ini pengalaman pertama saya makan dine in di resto gacoan, saat sampai sudah sangat OK, dengan posisi resto memang tidak terlalu ramai staff sigap mendatangi saya. …",4,setahun lalu
Unknown,Minhatun Maula,"pelayanannya jelek bgt, segitu byk org di area kitchen tpi banyak makanan yg belum keluar. customer numpuk untuk complain diarea depan karna makanannya belum keluar, termasuk table saya udh nunggu hampir 45 menit tpi mie pun belum keluar …",2,setahun lalu
Unknown,Mahdiyah Aprizal,"tempat nya bener"" enak buat nongkrong bareng keluarga atau teman, gacoan nya juga top bgt dah pokoknya enakk",5,3 bulan lalu
Unknown,NiyaVyask 15,"Pesen gacoan LV 1 2 porsi, datengnya dingin semua dan kecap di mie-nya dikit banget, porsi mienya juga lebih dikit dibanding gacoan yg pernah ku makan. Yg Masi oke udang keju sama lumpia udangnya karna Masi hangat. Terus kurang teliti sama kerusakan barang,ada kursi udh patah takut bgt klo orang gatau terus senderan tbtb jatoh😥 …",3,setahun lalu
Unknown,M ihsan,"Makanan? mienya udh kering ntah lah aneh, pangsitnya kurang satu, terus di pesanan ada air putih kaga ada pas mau di ambil, karna inget jadi ngomong
tempatnya? jujur kotor, kaya ada meja yg baru di bersihin kirain bersih gtu pas …",1,2 bulan lalu
Unknown,neli m,"makanan disini menurut saya enak” tpi yg kurang di pelayanannya aja. terlalu cuek ke customer, customer minta tisu ga dikasih bilangnya gaada. masa restaurant segede itu ga ada tisu, pernah diusir juga sm staffnya katanya jangan makan di …",1,4 bulan lalu
Unknown,Jasmine Dhaifina Nur S,Wah enak tempatnya buat nongkrong,5,6 bulan lalu
Unknown,Geraldi Ryan Wibinata,"Tempatnya enak bersih dan nyaman. Rasanya sama dengan gacoan lain, tapi karena tempatnya enak dan adem jadi lebih enak",4,setahun lalu
Unknown,Deza Aidis Rhacelia,"Tolong di revisi untuk pangsit goreng dan pangsit mie gacoannya terlalu keras untuk saya pencinta gacoan yang sudah nyobain di beberapa tempat, mohon untuk penyajiannya masi panas saat di tangan customer, bisa di tiru mie gacoan gunung sahari atau mangga dua, best gacoan yg pernah sy makan☺️",3,Diedit 7 bulan lalu
Unknown,Ilma Amelia,"nyokap saya beli mie 5 bungkus(take away)pas sampe rumah di aduk ada yg jalan pas diambil ada hewan kaya divideo,udh komplen kesana minta refund mie 1nya aja(yg ada hewannya)katanya gabisa wkwk,malah mau diganti mie lagi,nyokap sy gamao lah …",1,3 bulan lalu
Unknown,fauzi Septian ramadhan,"Makanan enak, tapi pelayanan lama, 3 mie aja butuh 1 setengah jam, padahal sepi, saat ditanya ke pelayannya mau diantar, tapi tidak diantar antar",2,4 bulan lalu
Unknown,Johar Baru,Dengan suana ramai nya kota kita bisa rehat sejenak sambil menikmati hidangan malam dengan gacoan,5,10 bulan lalu
Unknown,meythia sue,"ok, tempat lebih luas dari yg di sunter. Tersedia mushola..
staff jg oke pelayanannya, makanan so far ok sama dengan branch lain.",5,setahun lalu
Unknown,Diya Zaynn,Gacoan teradem dan ter-ngga pengap. Lokasinya oke bgt. Utk rasa memang seumumnya Mie Gacoan ya. Utk gorengannya crunchy ga kaya gacoan lain yg kadang udah melempem,5,7 bulan lalu
Unknown,ar wd,"Datang siang hari, tidak terlalu ramai. Tapi ruangannya panas meski ada kipas angin. Dan suasana karena dekat perempatan jadi lumayan ramai dan kurang nyaman.",4,setahun lalu
Unknown,Susana,Beli 13 bungkus mie katanya ditandain yg kebuka itu levelnya tapi apaa ada yg ketutup smua ada yg kebuka di 2 level jadi bingung . LV 8 ga ada yg kebuka itu tandanya. …,2,setahun lalu
Unknown,25. Rado Dapasavero,"pelayanan nya agak lama malah keliru sama yg baru dateng di duluin makanan nya, udh nunggu sejam lebih itupun harus di samper berkali"" baru dateng makanannya",1,7 bulan lalu
Unknown,Caca Chelsa,"Minggu, 13 April 2025
Pukul 10 malam saya pergi ke gacoan kelapa gading dalam kondisi lapar, saya memesan dine in di area bawah, dri sebelum saya duduk, saya sudah melihat bahwa di …",1,setahun lalu
Unknown,safa aprilia,"Makan & Minuman keluar di waktu yang berbeda. Menunggu makanan kurang lebih 20menit. Lalu menunggu minuman 30-45menit. Wasting time!!!!! Pelayan ditanya tidak memberikan solusi. Bahkan tidak ada permohonan maaf atas keterlambatan makanan dan minuman yang keluar. Kalau gada perbaikan, udah cabang ini bye. Gua pribadi gabakl balik lagi.",1,setahun lalu
Unknown,Picky Girl,tidak terasa sudah duduk disini selama 3 jam karena saking nyaman nya ga kerasa… kipas nya dibanyakin kak biar makin adem,5,setahun lalu
Unknown,Alftiri nur afifah,PELAYANAN LAMAA!!! DARITADI GUE NUNGGU MINUM SAMA UDANG KEJU NYA GA DATENG’ ADA KALI SEJAM HADEHHHH TOLONG DI PERHATIIN LAGI DEH,1,9 bulan lalu
Unknown,Aira Eka Putri,tempat nya nyaman bersih pelayanan nya baik ramah....,5,10 bulan lalu
Unknown,Melinda,"Penyelamat di kala lapar soalnya buka 24 jam. Pas pertama beli, mie nya kelembekan. Kali ini tulis di notes rekues ga lembek. Ga tau ini dibaca notesnya/gak, cuma kali ini dapetnya ga lembek. Oh ya kalau mau pesen take out, ini ada kode QR nya. Langsung scan aja biar pas sampe sana, makanan udah siap. Ga perlu antre lama.",5,setahun lalu
Unknown,Diki Saputra,"Jelek banget, lama pelayanan jelek, meja abis di pake orang ga ada yang bersihin,kocak gacoan terkocak",1,3 bulan lalu
Unknown,Najwa Alesya,"Makanannya uda pasti paling ENAKK DISINII JUJURRR , dan yang pasti pelayanannya yang sangat baik dan cepattt , uda jadi langganan terus deh gacoan lvl 2 dan udang kejunya disini💖💖 …",5,2 bulan lalu
Unknown,Holida,"Order makanan 1 jam lebih belum dianter, sementara pengunjung baru datang udah dianter. Udah inisiatif tanya ke team jawabannya nanti dianter, pas diomelin baru ngaku kalau pesenan ngga keinput. KECEWA. Yang nganter juga gaada permintaan maaf udah bikin pelanggan nunggu.",1,11 bulan lalu
Unknown,Yogi Rizky,"Menunggu terlalu lama
Keadaan sepi,tapi makanannya lama
Karyawan juga pada santai,tapi pada jutek",1,4 bulan lalu
Unknown,Rohani,"Segitu banyak pelayanan meja kotor gak di gubris sama sekali untuk segera di bersihkan. sampai pesanan saya datang
Heran sampai saya sendiri yang lap mejanya",3,setahun lalu
Unknown,achmed jumanji,"Makanannya enak2 dan murmer, nyaman dikantong, makan di tempat atau take way juga tdk masalah, lokasi strategis dan banyak pilihan tempat, bisa di depan, belakang atau lantai 2, bawa anak2 juga nyaman..",5,2 bulan lalu
Unknown,Mita Aprilia,"pelayanan kurang sopan,pesan lebih dari 2jam mie ga dateng dateng sampai ditinggal pulang saking muaknya nunggu",1,4 bulan lalu
Unknown,Aandhde177 Kosasih,"Buat parkiran ojol kasih plang nya , biar gk pindah pindah Mulu tiap parkir dapet ni resto, parkir selalu berbeda. Kaya McDonald's d kasih plang nya boskuh, trima kasih",1,7 bulan lalu
Unknown,Alan Nuari,"Udah dia kali saya ngalamin pelayanan yang kurang baik, saya hari ini esen combo yang hompipah sama gacoan, malah keduanya gacoan , sebulan yang lalu saya pernah email tapi gak di tanggapin prihal gak di kasih sumpit malah asik ngobrol yang ngebungkusinnya",3,5 bulan lalu
Unknown,Eros Kuncoro,Surat terbuka untuk gacoan kelapa gading! Saya sudah langganan makan gacoan dari tahun terakhir dan baru pertama kali ini saya minta bungkus dimsum dikenakan biaya tambahan! Lalu solusi petugas hanya memberikan kantong plastik kresek ke …,1,setahun lalu
Unknown,Khikmatul Islah,"Ya standar Mie Gacoan.
Cuma msh banyak bekas makanan di meja pas ke sana.
Parkir otomatis belum berfungsi karena masih baru mungkin. …",4,4 bulan lalu
Unknown,Nurlis Diana,"makanan cepat , enak , tempatt bersih , nyaman , pelayanan cepatt , kedua kali kesini , dan bakal balik lg ❤️",5,10 bulan lalu
Unknown,Sinta Nuriyah,"Setiap beli pake uang lebih selalu kurang kembalian nya, udah beberapa kali beli kembalian nya kurang mulu, lama² merugikan pelanggan dan kalo beli terus begitu sistem nya udah bisa kebeli gorengan digacoan kaya nya. Tolong banget buat gacoan selalu ready uang recehan untuk kembalian, jangan selalu bilang ga ada uang receh!",1,Diedit setahun lalu
Unknown,Cokro Crowne,Speaker pengeras suara perlu ditambah dibeberapa area... Karna lalu lalang kendaraan terlalu bising... Tidak terdengar jelas saat pemberitahuan pesanan..,4,3 bulan lalu
Unknown,liluw,"pesanannya sering ga sesuai, pesannya level 8 yang datang lvl 3. ga cuma sekali salahnya udah berulang kali bikin jengkel",1,7 bulan lalu
Unknown,Ahmad Zyan,Rekomendasi untuk kalian gacoaners😁 makaan enak + saos nya ga pelit😍😍 beda dengan cabang lain.. Mungkin lain waktu kita mampir lagiii🔥🔥 …,5,sebulan lalu
Unknown,Dzulfikar Bintang,Pelayanan nya buruk petugas nya gak sesuai SOP nunggu minuman 1 jam pas di tanya ke depan meja saya ternyata gak di kasih alarmnya sama petugas nya.,2,setahun lalu
Unknown,Abdul Rohman,"mienya terlalu lembek dan rasanya kurang dari biasa yang biasa saya makan  di tempat gacoan lainnya , entah emg lgi kurang beruntung atau gmn 😑 …",2,10 bulan lalu
Unknown,Risma Haryanti,"sukakkk banget. menurut ku dari semua cabang gacoan di Jakarta, gacoan kelapa gading paling best sih. pelayanannya cepet, tempatnya luas dan ga gerah. makanannya juga konsisten enak. loveee..",5,2 bulan lalu
Unknown,Fhatia 696,"1. Jorok
2. Gak ada keterangan lv berapanya di kemasan. Ada sih ada. Di tandai dengan di bolong gt di no levelnya. Tapiiiiiii.. Ini banyak lubang dr mana saya tau ini level berapa 😭😭😭 …",2,setahun lalu
Unknown,2PA04_Indah dwi Khairani,tolong untuk kipas nyaa kurang berasa terlalu  pelan dan tidak kerasa sama sekali untuk kebijakan nyaa tolong di perhatikan kenyamanannya pelanggan,3,sebulan lalu
Unknown,INDOVID Official,"Porsinya sangat sedikit sekali, kyk 1 porsi dibagi dua, ditambah mie nya pedes bgt, ga tau pedesnya karena apa, kyknya bukan karena cabainya, soalnya cabainya saya pisah",2,8 bulan lalu
Unknown,Melnia Windy,"Pelayanan sekarang baik beda sama dulu, makanan juga enak dan bervariasi",5,3 bulan lalu
Unknown,Mohamad Anwar,"pelayanan kurang memuaskan
masa sudah nunggu 1 jam baru di anter pesanannya
tolonglah buat yang bersangkutan di benahi",1,11 bulan lalu
Unknown,Nat A,"Tempatnya cozy, pelayanannya ramah, dan aku suka tempatnya tuh strategis dekat kantor. Da bes bgt",5,10 bulan lalu
Unknown,Dendy,"MIE GACOAN KELAPA GADING
Buset gw lagi makan trus alarm bunyi buat ngambil pesanan, Gw tinggal lah makanann gw eh pas naik lagi ke atas udah di beresin makanan gua Mana orangnya diem …",1,setahun lalu
Unknown,citra,Enak tempatnya cmn ko mie nya dingin yaa biasanya saya beli di kelapa dua dpk ada minyaknya sedikit msh anget ini dingin kaya udh mie tr tdi aduh jdi ga enk mkn jg,2,9 bulan lalu
Unknown,Reza Anandria,"Kali ini mampir di Mie Gacoan kelapa gading.. Seperti biasa, rasa ga berubah dari setiap outlet. Favorit Mie Gacoan Level 3 + Udang Rambutan + Es Teklek yang murah meriah, itu aja udah mantulll.... Sukses selalu Mie Gacoan 👍🏼👍🏼👍🏼 …",5,setahun lalu
